Primary__Hotel Name,Primary__Google Travel,Primary__Total Reviews,Primary__Rating,Primary__Hotel Address,Primary__Contact Number,Primary__Official Website Link,Primary__Date,Primary__Check In Time,Primary__Check Out Time,Rates__Site Name,Rates__Price,Reviews__name,Reviews__review,Reviews__service rate__Rooms,Reviews__service rate__Service,Reviews__service rate__Location,Tripadvisor Ratings__Location,Tripadvisor Ratings__Cleanliness,Tripadvisor Ratings__Service,Tripadvisor Ratings__Value
,,,,,,,,,,,,Anonymous,"The hotel was a little off the road but a huge outlet mall was right next door. Jamie, the gal that checked us in was delightful and our room was very comfortable and clean. Our grandkids loved the kiddie pool with the slides and the spa pool was fantastic. Thanks for a great place to stay!",,,,,,,
,,,,,,,,,,,,Anonymous,"The guy at the front desk was great, he has blue-ish hair and his welcoming personality really made us feel safe and welcome at the hotel!",,,,,,,
,,,,,,,,,,,,Anonymous,"Food was terrible! Desk staff were surly. Bed was not great. Pool and whirpool were cold, the room was very noisy with lots and lots of kids! …",,,,,,,
,,,,,,,,,,,,Anonymous,"Clean, safe, enjoyable stay. I’m not sure why you place a character minimum for this entry as I stated my review with four words and didn’t expect to write a mini novel, I suppose this page of the survey was the worst part of my experience with the trip.",,,,,,,
,,,,,,,,,,,,R P,Decent place and a value for size of rooms and amenities offered. We have had occurrences where pool area is freezing or kids water area inoperable. Staff is always very friendly and helpful. Rooms are always clean. We always pick top floor as overhead noise can be loud and wake young kids on lower floors.,,,,,,,
,,,,,,,,,,,,Anonymous,"Nice room, good breakfast.  Very poor housekeeping. Made bed, did not empty garbage, leave clean linens, or take dirty linen. Toilet backed up. There was no maintenance we were handed a plunger by the front desk. No apology, just excuses. Also facility is a distance away from everything and there is no security. Very understaffed.",,,,,,,
,,,,,,,,,,,,Anonymous,"This hotel was a wonderful surprise. It is located behind the Johnson Creek Outlet Mall but far enough away that you didn't have a lot of traffic. Beds were very comfortable, great breakfast and pool/hot tub very nice. There is even a kid's pool and lounge so you wouldn't have to leave the hotel. I will use this hotel in the future!",,,,,,,
,,,,,,,,,,,,J Carroll Jr,Desk clerk was not as cordial as I am used to. Suites are well kept and comfortable. Free breakfast is very good with both hot and cold selections. Very good place for banquets or conferences. Cherry finished furniture in my room had some nicks.,,,,,,,
,,,,,,,,,,,,Joan Crawford,"We were there for a 3 night stay. Had to almost beg the cleaning lady for more towels, our room was never serviced the first day, and the floor under the bathroom vanity was quite dirty. Old dog kibble, kleenex and dust/dirt, very unhappy with it. The air / heat unit ran constantly, off switch did nothing. I really hate to see such a nice place deteriorate as there are not many options in this area. Have stayed a number of times but dissappointed with the cleanliness in the bathroom this time. Hope for improvements.",,,,,,,
,,,,,,,,,,,,Anonymous,It was okay. The breakfast was slim pickings. Not too pleased with that.  Wouldn't have stayed there if I knew the place was being painted. Gym wasn't available. I only stayed one night so I expected more or even to be informed prior to coming that the hotel isn't how it normally would be.,,,,,,,
,,,,,,,,,,,,JCHWGH,"Bathroom not clean. Not attended to second day either after complaining that it was not clean on arrival. Have stayed in Choice Hotels in Green Bay, WI; Ohio, New York State; all of which were clean and very nice. …",5,5,5,,,,
,,,,,,,,,,,,Mike,"I stayed at this hotel for 7days in a suite. I travel quite a bit for work and although there is absolutely nothing to do in Jefferson creek, this hotel made it better. …",,,,,,,
,,,,,,,,,,,,Anonymous,"We were worried about the noise level in our room when we came back to the hotel late on the night of our stay, because there was a huge wedding booked there for the weekend. …",,,,,,,
,,,,,,,,,,,,Anonymous,"Desk staff was great in accommodating our need to be placed in a suitable room for our dog. We were placed near an exit on first floor, so we had an easy time getting in and out to take our dog outside. …",,,,,,,
,,,,,,,,,,,,David Farkas,"Stayed three days here over the last week, but not in a row. Rooms were nice, employees were nice and patient(except the elderly lady that worked the kitchen, she diddnt seem to understand what was going on in regards to the food area) which surprised me one day when the other lady was there and on top of everything and cheerful.But please, FFS, clean the durn waffle iron it was disgusting 😐.",,,,,,,
,,,,,,,,,,,,Anonymous,I noticed that the door to our room didn't fit very snug and so we could hear everything in the hall very clearly. The pool area was very large and great for all ages. The hotel had a regular hot breakfast and a friendly staff.,,,,,,,
,,,,,,,,,,,,Anonymous,We werent sure what to expext. We usually stay in the bigger brands but we were very happy here. The rooms are huge and very comfortable. I was able to crack the window at night. (We like it cool at night). It was very quiet. Breakfast wasnt great. The usual breakfast dribble. But i would definately stay again.,,,,,,,
,,,,,,,,,,,,Dan Laubenheimer,We booked a block of rooms for my son's wedding. The staff was so helpful in working with us.  We are really looking forward to the stay in August,,,,,,,
,,,,,,,,,,,,Anonymous,This hotel was wonderful! We had a great experience! The staff and management was very helpful and professional! I will be back here next month! Wonderful place for family and friends to stay at. I didn't have to complain not one time! One of the best experiences I've had at a hotel! Keep up the good work!,,,,,,,
,,,,,,,,,,,,Anonymous,Have stayed here multiple times in past. Pool is very child/kid friendly. Breakfast one of hte best when we have eaten breakfast there. …,,,,,,,
,,,,,,,,,,,,Anonymous,Not enough characters allowed to tell the whole story so in a nutshell-I was charged to stay in a hotel I wouldn’t have reserved a room in at all had I known about the pool being closed. …,,,,,,,
,,,,,,,,,,,,Anonymous,Great hotel with water park for smaller kids.  Hotel bathrooms could use updating. Toilet seat was loose and seat fell off-plastic screws fell on floor.  Some black mold seen in grout lines along tub.,,,,,,,
,,,,,,,,,,,,Timothy Koch,Called ahead to make sure pool was open. Once we get check in they inform us that we have to have our temperature checked every time we enter pool area and access is limited. Should also probably update your website breakfast isn’t cereal and instant oatmeal. Our room was filthy! Garbage sitting on the table and under the tv stand. The first night the pool was about 35 degrees I was pleasantly surprised to find it warm enough to swim in the next morning.,5,5,5,,,,
,,,,,,,,,,,,Anonymous,"We enjoyed our stay at the Comfort inn. A little out of the way, we saw two beautiful cranes on the way in! Room was basic but clean. Check in was a breeze and check out even easier. Appreciated the covered entryway because it was raining as we loaded our luggage into the back of our vehicle.",,,,,,,
,,,,,,,,,,,,Anonymous,"We have stayed at this hotel many times.  It is a good stopping point between Minneapolis and Chicago.  Some things are beginning to show wear, but all in all it is still a nice place to stay.",,,,,,,
,,,,,,,,,,,,Anonymous,The Johnson Creek Comfort Suites was a nice relaxing place to stay during a family member's wedding.  The hotel staff was very nice and accommodating and the room was comfortable.  The hotel itself is close to the outlets.  …,,,,,,,
,,,,,,,,,,,,Anonymous,"Room was very specious and clean. Hotel is 13 years old but could of sworn it was built just last year. Pool is very impressive with in water basketball hoops, kid/toddler splash zone, and a huge jaccuzi. Extremely quiet location.",,,,,,,
,,,,,,,,,,,,Anonymous,"Breakfast with good eggs, waffles, etc.  24 hour lemon water, coffee, real creamer.  Microwave and refrigerator.  Extra large room with sofa.  Super clean and quiet.  Great price and close to freeway.  Friendly staff.  Great pool for kids with slide.",,,,,,,
,,,,,,,,,,,,Anonymous,"Spacious, clean room, however, overpriced, in my opinion.  Large breakfast area with good selection.   Two night minimum which I was NOT  told when making a reservation via phone...they later insisting I was told.  …",,,,,,,
,,,,,,,,,,,,Anonymous,"Outstanding in every aspect!   Everyone with whom we came in contact was very helpful, friendly, and outgoing.  This hotel has obviously put forth a great effort to maintain quality service and the building is immaculate, very well-kept.  It is very suitable for anyone traveling on business or taking the family for a vacation or trip.",,,,,,,
,,,,,,,,,,,,Anonymous,"This is the 3rd time this year we have stayed at this hotel.  The rooms are always very clean, staff friendly, and food is good.  My kids love the children's area in the pool because it has a playground in it and basketball hoops in the adult pool.",,,,,,,
,,,,,,,,,,,,Anonymous,Once I finally found hotel (not easy at 2am without GPS) and finally found a way to check in desk (hotel front door area under repairs) as front was blocked and poorly marked.  No signage for temp. entry!  …,,,,,,,
,,,,,,,,,,,,Underwood,The pullout bed was so nasty! Crumbs and dirt was all in the corners and under the pillows! Then we find dog food under the foot test. When called down to the front desk they said ok we’ll send someone to take a look! I called back twice and went down to the front desk and no one still has not come to clean it up ! It’s been over a hour and it’s 11:30 at night!!!! Horrible,,,,,,,
,,,,,,,,,,,,Anonymous,We had very little time at the motel due to showing schedule.The clocks changed on the weekend so didnt tryeating but meal looked very good. …,,,,,,,
,,,,,,,,,,,,Anonymous,"My husband and I stayed here for a wedding we were standing up in. We enjoyed our comfortable bed and the breakfast was good. The room was clean and hotel staff was nice. My only negative comment, the front desk did not ask for an ID when I needed a new room key they just handed it out without even asking my name.",,,,,,,
,,,,,,,,,,,,Anonymous,"This hotel was clean, modern, well-appointed, and staffed by friendly, helpful employees. The room was comfortable and quiet, and there was so much room to walk my dog. I will definitely be staying here again.",,,,,,,
,,,,,,,,,,,,Anonymous,"Easy check in, room was spacious and clean.  Breakfast was great with plenty of items available.  Staff was always friendly and asking if there was anything they could do for us and asking how our stay was going.  Location of the motel is a little out of the way but easy to find.",,,,,,,
,,,,,,,,,,,,Anonymous,"A great place to stay between Madison and Milwaukee.  It has a fun pool area with something for everyone.  My 2 1/2 year old grandson loved being able to shoot hoops in the big pool as well as playing in the kiddie slide area.  The breakfast area was well stocked, had plenty of seating and very clean.",,,,,,,
,,,,,,,,,,,,Kaitlyn Taylor,Rooms are nice but hotel staff was very unhelpful. They lost my reservation that I made over the phone and had to book again last minute. Thankfully was able to get the same rate! Make sure they send you a confirmation! When I asked about a potential shuttle that was happening for a wedding I attended the staff was stand offish and rude. I ending up getting info about a taxi company from the grocery store instead.,,,,,,,
,,,,,,,,,,,,Michael Jacobson,Everytime I have to come here this place disappoints me more and more. The rooms always look like they never get cleaned well after each guest. The staff here are the worst part of the stay. Besides the girl at checkout today she was very kind and professional. I watched her bust her butt trying to get everyone's breakfast and the manager just stood around and didn't decide to help her. They definitely need more people like her working there.,,,,,,,
,,,,,,,,,,,,Anonymous,"Hotel was very nice and clean. Reasonable rates too. The cost was about the same as other hotels in the area, but those other hotels offered smaller rooms without a refrigerator or microwave, both of which were included at Comfort Suites. …",,,,,,,
,,,,,,,,,,,,Anonymous,"Upon arrival you could tell the GM, who was working late, really cared about the place. She was very apologetic about the pool not being available that night and offered a modest discount and late checkout to make up for it. The entire place was near spotless and the beds were great!",,,,,,,
,,,,,,,,,,,,Lily Rolfe,"The rooms are very spacious, the pools are kid friendly, and the staff was friendly and very quick to refill the breakfast food. It took a bit to find a place to deliver but we found food eventually (Pizza Pit). It was a great place to stop for the night",,,,,,,
,,,,,,,,,,,,Anonymous,This hotel was definately a nice suprise. It was tucked away in a private area of town but was easy to find. We travel with a dog and were in the area for a dog show. …,,,,,,,
,,,,,,,,,,,,Anonymous,"Experience here was so-so.  Hotel was clean, staff was friendly, good breakfast.  Pets are allowed & there was a barking dog down the hall.  The light in the fitness center wouldn't turn on during my 5am workout.  …",,,,,,,
,,,,,,,,,,,,Anonymous,This is a great hotel. I stay here multiple times throughout the year while taking or picking up my daughter from college.They have nice large rooms and a decent sized pool. …,,,,,,,
,,,,,,,,,,,,Anonymous,Overall our stay was good. The only down side was not being able to use the hot tub to relax at the end of the day.,,,,,,,
,,,,,,,,,,,,Dave Immel,"I would have given the facility a lower rating however the staff earned an upgrade.  As a business manager, I’m aware that many people only write reviews when they are unhappy about something, be it real or perceived.  I try to write about the positive whenever possible too.I’m also aware that  some things are not within the control of the employees and should be directed to the property owners.  So, lets start there.  The hotel was generally clean.  It appeared that the carpeting throughout was fairly new but showing use.  In terms of our room, it had a whirlpool tub sitting in the ‘living room’ which we never intended  to use.  It was dated, showing it’s age and the tile around it could have used new grout, especially on the floor along the base of the tub.The couch fabric was pilling and I’d hate to point a black light at it.  There wasn’t an end table or coffee table in the room so there was no where to place a drink.  Please consider changing this soon.So, let’s talk about the bathroom sink.  We found that it was totally clogged and wouldn’t drain.  My wife and I were in a hurry to start our day so we left without informing the staff…shame on us.  In any event, we returned to our room around 3:00 at which time I called the front desk to tell them about the sink.  To my surprise, the woman on the phone told me she would come up and see what she could do to fix it.  I expected them to call maintenance or something…I guess.When she arrived I found out the woman trying to fix our clogged sink was in fact the General Manager of the hotel; Christine Aumueller, working on her day off.  She told us her maintenance man had left for the day and she would do what she could.  After working on the sink for quite awhile, she said that maintenance would have to repair it on Monday and offered to move us to another room.  My wife and I decided to stay in this room and agreed to work around the non-draining sink.  Christine was very personable and accommodating, doing what she could to make things right.A couple other five star worthy highlights were again the staff.  The young lady at the front desk was extremely friendly.  The two women who attended to the complementary breakfast were attentive and made sure everything was freshly stocked throughout our time in the room.All in all, we would recommend this comfort suites and would urge ownership to consider updating more than carpeting.",,,,,,,
,,,,,,,,,,,,Anonymous,"This place is a gem as far as the facility goes.  But the service is horrible.  Speedy check in and they aim to please, but behind the scenes it is horrible. …",,,,,,,
,,,,,,,,,,,,Natalie Weihert,"It was a lot of fun, big area. It was $5 a person open swim from 6am to 6pm. Such a nice clean place towels included. It had a shallow kids area with a double slide, a large pool with 3 basketball hoops, and a nice sized hot tub. It was so much more than expected. Warm water in all pools and great temp in hot tub. The only reason I didnt give it a 5 star is because bathrooms were freezing cold and the air outside in the pool area was a little cold for my taste... however that might be because we came on a -25 degree day lol. Will go to this place lots more hidden gem",,,,,,,
,,,,,,,,,,,,Anonymous,"The accommodations that I chose using the Choice Hotels website and were very specific in the reservation acknowledgement were no provided. I got different asinine excuses from three different staff members at the desk, but no help. No WIFI.",,,,,,,
,,,,,,,,,,,,Anonymous,"My stay was good, rooms were clean. Breakfast had a variety of foods to choose from, and was freshly made.   There was remodeling going on, and parking lot was being redone, but they allowed us to still pull up to the main doors to unload before having to find a parking spot on the street.",5,5,5,,,,
,,,,,,,,,,,,Caitlin Jung,"Attended a convention here recently. Hotel, parking, meeting rooms, common areas were just fine and clean. I didn't stay over night. The only issue I had was that the wireless mic and room sound was not that great. We had a ton of speakers and we had to have them stay in a sweet spot in the room of to the side instead of being able to walk or stand where they wanted.",,,,,,,
,,,,,,,,,,,,Anonymous,Pool area was filthy and one of the pools wasn’t even working. Garbage was everywhere and food was floating around in the pool.My room had the ac blasting in the middle of winter! …,,,,,,,
,,,,,,,,,,,,Anonymous,I have been staying here since 2006.  We travel from Missouri to the annual Wisconsin Sheep and Wool Festival in nearby Jefferson. The recent upgrades have made it even better.  Love the comfortable mattresses and space in the room.  …,,,,,,,
,,,,,,,,,,,,Anonymous,We had an incredible four day stay.  The entire staff was accommodating to our entire team and their families.  …,,,,,,,
,,,,,,,,,,,,Michael Roberts,"It's ok.  There were issues this time like no hot water in the morning at times and a toilet was nowhere near tightened to the floor. This was in the newer wing too. And it's 2016, can we not get HDTV on cable yet?  Breakfast was fine. Staff was courteous. I like it was a little off the beaten path where it's quiet.  Been staying here many years, but I think I'm less happy here each time.",,,,,,,
,,,,,,,,,,,,Anonymous,"We were greeted right away by very friendly and helpful staff. Great breakfast in the morning. The room was quiet, my kids enjoyed having the pool to themselves since we stayed during the week.",,,,,,,
,,,,,,,,,,,,Anonymous,"The Comfort Suites have good staff who are attentive to us when we stay in the area. The grandchildren enjoy the pool. When I ask for a ground level room, they almost always grant me the request. If you arrive after 7:00 PM they are not always at the front desk but we have not had to wait too long for them to return to register us.",,,,,,,
,,,,,,,,,,,,Anonymous,"The room is extremely comfortable with a premium mattress, clean and well maintained furnishings and a quiet building. My only recommendations might be less light in the room (Go to red versus green) and improve the breakfast. However, I want to state this was an exceptional stay and I'd highly recommend it to anyone asking.",,,,,,,
,,,,,,,,,,,,Anonymous,Was a nice motel with very spacious room. Looked like the pool area was really nice with a kids basketball hoop. Got in late so didn't utilize it but it looked clean and nice. Beds were comfy and pillows good. Clean.,,,,,,,
,,,,,,,,,,,,Anonymous,The staff was friendly and willing to answer any questions. Our room was ready early and very spacious. My only complaint is poor layout of the breakfast; most of the food is on one side while the hot food is on the other? I missed it until I saw the staff refilling it.,,,,,,,
,,,,,,,,,,,,Anonymous,"We enjoyed our stay. The two room suite was quite large, clean and quiet. The beds were very comfortable. Also, the room air conditioner was the quietest I have ever heard. It was barely noticeable when it ran.",,,,,,,
,,,,,,,,,,,,Robert,The comically overstuffed pillows made me fear for the health of my neck. That's really all I can come up with. Everything else was great. …,,,,,,,
,,,,,,,,,,,,Anonymous,"Very nice hotel overall. We had a 2 bedroom suite, and the room was very large, which was nice. Our bedroom was adjacent to the elevator but we never heard any noise at all from that. Very quiet and comfortable hotel. Thought price was a little high for the area, but would stay here again.",,,,,,,
,,,,,,,,,,,,Troy,"We stayed at this location 2 or 3 years ago for a family get together, and liked the over all value we got then. …",,,,,,,
,,,,,,,,,,,,Gompps,Room was clean and linens actually smelled clean.  Breakfast was good.  We had a problem with the door lock not working and had to be reassigned another room so check in took quite awhile.  Air conditioning in the room turned off after a few minutes even if temperature setting was lowered.,,,,,,,
,,,,,,,,,,,,Becca Cleveland,"Very spacious room, even considering that it's accessible. Good location, lots of parking, good breakfast, helpful front desk staff. Room freezer needs defrosting and sink faucet is clogged so the spray is kind of...aggressive. Other than that, no complaints :)",,,,,,,
,,,,,,,,,,,,Anonymous,We stay at this hotel a lot and sometimes it can be VERY noisy especially when there are weddings and youth gatherings such as the girls dance competition a few weeks ago. …,,,,,,,
,,,,,,,,,,,,RB1960,We were visiting friends in nearby Oconomowoc and decided to use up two free Choice Rewards nights. …,,,,,,,
,,,,,,,,,,,,Anonymous,It appears to need some updating or care. We had about 9 -10 rooms for our family Easter weekend and most of the TV's didn't work or different channels for the same show in different parts of hotel. Room keys for numerous rooms didn't work half the time. And dirty rooms at check in. Pools were great.,,,,,,,
,,,,,,,,,,,,Reid Johnson,"The beds were not clean, dorito crumbs and hair on the sheets and pillows.   Changed our own sheets.  The front desk said that  they have been having trouble with housekeeping.  My recommendation  is only stay here if you are desperate for a room, then at least check your bed closely.  Another guest at the front desk said they had bed bugs.  The front desk staff did not seem to care too much and the manager of the hotel was no where to be found.    They did give us half off our room but only because I was not happy with the cleanliness.",,,,,,,
,,,,,,,,,,,,Eric LeClaire,"I have stayed here for years with my mom coming from out of state to see my kids. I've heard the place is under new ownership and I couldn't more happy. The woman at the front desk. "" jolie"" was very friendly and respectful.i also went to the   lounge, which I've never know was there.  Kyle was an awesome bartender and I would recommend this place to everyone traveling through here",,,,,,,
,,,,,,,,,,,,Anonymous,My experience was nothing to rave about.  Stayed here on a Saturday night while there was also a wedding reception going on.  …,,,,,,,
,,,,,,,,,,,,Anonymous,"We love the Comfort Inn at Johnson Creek. The rooms are AWESOME with the separate bedroom for families. The pool area is perfect for our kids and for us with the big hot tub. The staff is ALWAYS friendly, the hotel is clean, and the breakfast is DELICIOUS.",,,,,,,
,,,,,,,,,,,,Soomdong,"Price is high. The best place to sleep in this city. The wall and floor is very thin, so you can hear just a normal tone of conversation from your next room. Just a normal walking from your upper room is noisy enough to be disturbed. Room is luxurious and clean. Free breakfast is good, but not awesome. Anyway I will come again because this place is the only option for me. I checked in Google map for the alternatives, and other places are worse than here according to Google map.",,,,,,,
,,,,,,,,,,,,addicted2riding,"Staff: Always courteous, social and helpful.Rooms: Nice. No wondering if the beds are sanitary enough to sleep on. …",,,,,,,
,,,,,,,,,,,,Anonymous,"This hotel is off the beaten path, in other words, watch for the small signs to it, so you dont get lost. The room and breakfast were great. …",,,,,,,
,,,,,,,,,,,,Anonymous,"The variety of breakfast choices was excellent. There was two doors that didn’t lock and an additional door that wasn’t working properly, but was able to be used as an egress if needed.",,,,,,,
,,,,,,,,,,,,Drekkl,When I booked this room online I was not aware there was a waterpark.  It was raining extremely heavy and didn't feel safe driving any longer.  …,,,,,,,
,,,,,,,,,,,,Anonymous,"No towels in locker room entrance, encouraging showering before swimming?Pool area had unsupervised, noisy children. …",,,,,,,
,,,,,,,,,,,,Anonymous,Great place to stay. Very clean. Quiet rooms. The pool area has a nice kids space and basketball hoops in the deeper pool. The area was very warm and comfortable for us to sit in for a long period of time. Lots of chairs and tables. We will be back.,,,,,,,
,,,,,,,,,,,,Anonymous,We stayed in the whirlpool suite and it was very spacious with a separate bedroom. Nice pool area with basketball hoops and small waterslide in separate pool that would be great for young children. …,,,,,,,
,,,,,,,,,,,,Anonymous,I've been coming to this hotel for years.  It's kept up to date and in excellent shape.  The recent addition to of the Lounge has made this hotel even better.  It's a perfect place to visit with friends over a beer in a safe atmosphere where you can actually have a conversation.,,,,,,,
,,,,,,,,,,,,Anonymous,Was a nice stay great hotel just make sure u let the front desk know  that you want your room cleaned with fresh towels. If you don't they do not get cleaned.,,,,,,,
,,,,,,,,,,,,Anonymous,"The hotel comfort suites at Johnson creek was absolutely wonderful.  The room we stayed in, double queen, was very spacious and clean.  Some rooms seem so small but this room was perfect.  There also was a small fridge and microwave which was great as well.  Overall great stay.",,,,,,,
,,,,,,,,,,,,Anonymous,Fire the landscape contractor and provide motivation to the cleaning crew.  More hands-on management …,,,,,,,
,,,,,,,,,,,,Matthew Crever,Let's start and say the couch in my room had dog poop or something in that nature all over it. Told the front desk and nothing happened till the next day. The toilet didn't flush properly and the room was not clean. Second they overcharged me twice and try to blame a company credit card that didn't work. I have been waiting for 8 days and still no refund. The general manager thinks it's ok to blame everyone else then his staff or business. I didn't authorize you to charge my credit card for over $500 in unauthorized charges. This is fraud! Beware when staying here.,5,5,5,,,,
,,,,,,,,,,,,Anonymous,"I have stayed at many hotels. Most claim to have wifi that's accessible throughout the hotel, but this one provided that.The room I stayed in was bug free. …",,,,,,,
,,,,,,,,,,,,Anonymous,Great hotel. Stayed there for a night while attending a Cubs - Brewers game. It appears to be a newer hotel and well taken care of. The staff was very friendly and helpful. The only 2 things I would change were getting rid of the feather pillows and get better food at breakfast. I would stay here again.,,,,,,,
,,,,,,,,,,,,Anonymous,Excellent staffAn amazingly large pool and spa as well as a large pool area with slides etc for young children. …,,,,,,,
,,,,,,,,,,,,Anonymous,This was a pleasant surprise.  We found this hotel online while driving down 94.  It was a good price.  We would not have found it otherwise.  It was comfortable and spacious and clean. There were unexpected extras in the room such as a closet and roomy bench to either sit on or put your luggage on.,,,,,,,
,,,,,,,,,,,,Anonymous,"We were in town for a dog show.  Usually when a hotel has a lot of dog show people, it is poor quality, the grounds are a mess (do to other dog owners!, etc.)  This was a very pleasant surprise.  Our suite was nice and clean and the grounds were very clean.  There were not a lot of dog show people at this hotel and I think that helped!",,,,,,,
,,,,,,,,,,,,Anonymous,People were in our room when we got there and we had to kick them out . They made a mistake both the Hotel and the guests. and tv didn`t work at first. Other wise it was a good stay. Good breakfast and nice big pool room.,,,,,,,
,,,,,,,,,,,,Valerie Kreklau,Amazing hotel!!! We were very impressed by the size ouf our room. The pool area is passed our expectations. It was very large with 3 big areas to play in. Only thing I’d add would be a few more basketballs to play with. Breakfast was hot and satisfying. Thank you for a wonderful hotel experiance. Truly a home away from home. We will definitely be back.,,,,,,,
,,,,,,,,,,,,Anonymous,The room was really spacious. The staff was super friendly. Overall our stay was enjoyable.,,,,,,,
,,,,,,,,,,,,Tom Rosenow,"Comfort Suites provided the location for a wedding reception, as well as an overnight stay. Rooms were large, clean, and reasonably priced. Location was set away from the highway, but still accessible to the local outlet mall and interstate access. Service during the reception was excellent, and all employees encountered during the stay were friendly.",,,,,,,
,,,,,,,,,,,,Anonymous,This hotel was a great place to stay. We were in town visiting family about 20 minutes away and could not have been happier. The only down fall is that it is not easy to get to from the interstate. …,,,,,,,
,,,,,,,,,,,,Jason Mazzoni,"Check in is at 3...NOPE! wedding starts at 4:30 and room wasn't ready at 3:30...had to get dressed in the bathroom and get into our room after the wedding.... Unacceptable!!  No discount for the piss poor way this hotel operates because we are part of the group rate.  Never again! Please don't waste your time with this place, they do business horribly.  Lots of complaints from others that stayed here from the wedding to.  Try to do business else where, it's not worth the headache for you or others in the wedding that may stay here.",,,,,,,
,,,,,,,,,,,,Anonymous,"Overall condition of the hotel was excellent. The beds are very comfortable, the finest ""hotel"" mattresses we've ever slept on. …",,,,,,,
,,,,,,,,,,,,Anonymous,The staff was very welcoming and friendly.  The housekeepers do seem to rush through the cleaning.  The grounds/parking lot crew don't seem to want to work.  Snow packed parking lot and sidewalks to the side door not shoveled.  Not easy to get around with luggage when doing it in the snow.,,,,,,,
,,,,,,,,,,,,Jordan L,Very clean place. Reasonably priced. They make sure everyone is capable of staying here.fresh linens daily if you want. Great place to stay if your from out of town. Very close to the outlet mall for all youe needs. Along with gas station open 24hrs down the road as well. This is a great place to stop if your traveling i94 and need to take a rest in between your trips. Truck drivers are welcomed. They also have the ability for you to rent a room for all your businesses company needs.,,,,,,,
,,,,,,,,,,,,Ashley H,The only plus side about this place was the free breakfast in the morning. Most the time the internet didnt work so I could not pull up my work assignments. The hot tub was down for 3 1/2 weeks and occasionally I would find the door to my room open! They do not salt their sidewalks in winter right away when they should as well as plowing the parking lot. A bit of the staff was friendly I can say that for them.,,,,,,,
,,,,,,,,,,,,Beckzified,"The rooms were nice, clean and bed were comfortable. Pool and hot tub were relaxing and clean. Breakfast was great. Had problems with our room keys working. Had to get new keys multiple times.",,,,,,,
,,,,,,,,,,,,guempelein,I was disappointed as I stay at many Comfort Hotels each year. They usually provide good value for the money but this stay was the exception to the rule. The beds were dirty with popcorn and grass in them. The hallway had plaster dust from the feet of a guest and no one had enough pride in the hotel to clean it up overnight.,,,,,,,
,,,,,,,,,,,,Anonymous,"Very nice staff. Breakfast was very good, great variety. The lady taking care of breakfast area was excellent.",,,,,,,
,,,,,,,,,,,,Anonymous,"We had a horrible experience with the room block. We went through three event coordinators at the hotel in just 10 months. We only wanted to use a room block, we weren't even hosting the event there. …",,,,,,,
,,,,,,,,,,,,Anonymous,I like the location and the staff was friendly but the halls smelled like pot. Usually you need a key to get into the hotel but that was broke. It didn’t matter I still felt safe.,,,,,,,
,,,,,,,,,,,,Anonymous,"This is a very nice hotel. It's a ways off the highway and you have to follow the signs to find it, but it's worth it. Very clean and looks like a fairly new hotel. …",,,,,,,
,,,,,,,,,,,,Anonymous,"I would not recommend this hotel. After a long day of travel, I checked into the hotel at 3 am and found that the toilet in my room had been used and not flushed. …",,,,,,,
,,,,,,,,,,,,Anonymous,Good except for the dog smell in late afternoon and early morning. Just wasn’t expecting that many dogs at a hotel. Besides that was a great time. Thank You,,,,,,,
,,,,,,,,,,,,Anonymous,"We stayed at the Johnson Creek Conference Center, and it was great. The pool area could use some sprucing up, and kids should be told to leave around 10 pm. Other than that staff was friendly, room was clean, and the breakfast was amazing!",,,,,,,
,,,,,,,,,,,,JKalin,"We picked this hotel because it was close to where we had to work. What a wonderful surprise it was! Clean room, clean halls, check-in was quick, same for check-out. Great pool and hot tub. Would stay and recommend this hotel to anyone needing to stay in the area. Thank you for a great visit!",,,,,,,
,,,,,,,,,,,,Anonymous,We were one of the first customers when motel opened. Did not even have lamps in the room and pool had a chlorine leak that night. Manager met us at door and was willing to put us up at another facility. …,3,3,2,,,,
,,,,,,,,,,,,Anonymous,"i explained it all in what I didn't like about this hotel. I had zero minutes of sleep because of paper thin walls, and loud trampling through the rooms above and hallways, and a loud AC that kept kicking in and making noises. …",,,,,,,
,,,,,,,,,,,,SportsFamily,My husband arrived at 5pm. He was told that the room will be ready in 15 minuets. They had him check in but the room was not available until after 7:30pm. He watched other people check in. …,,,,,,,
,,,,,,,,,,,,Matt Schaetzel,We walked into our room and it was never cleaned.  They upgraded us to a whirlpool room. It was great,5,2,5,,,,
,,,,,,,,,,,,Anonymous,Very nice hotel with excellent staff - everyone was very kind (front desk and breakfast staff).  My room was very comfortable and clean and everything that I expected.  I really appreciated the early breakfast (6:30am) on the weekend :),,,,,,,
,,,,,,,,,,,,Anonymous,Large clean rooms! Very comfortable bed! Staff is very friendly and accommodating. Would love to see breakfast menu with a few more healthy items but nothing a few tweaks wouldn't fix! Also plenty of restaurants in surrounding area for other options for breakfast! All in all a nice hotel for the price!!,,,,,,,
